推,噓,分數,作者,標題,時間,推_etl,時間_etl
推: 6,噓: 2,分數: 4,作者: BIA (必亞),標題: [問卦] 簽了ECFA之後 加大貧富差距？,時間: Sun Jan  7 09:26:30 2024,6,2024-01-07 09:26:30
推: 14,噓: 1,分數: 13,作者: Workforme (′‧ω‧‵),標題: [新聞] 超羨慕！　富邦金年終「最高20個月」加薪達4%,時間: Sun Jan  7 09:28:10 2024,14,2024-01-07 09:28:10
推: 5,噓: 1,分數: 4,作者: fpsmodooo (fpsmodooo),標題: [新聞] 當初看到大白鯊被當成小魚乾吃有多震撼？,時間: Sun Jan  7 09:31:17 2024,5,2024-01-07 09:31:17
推: 1,噓: 0,分數: 1,作者: qw5526259 (B.K),標題: [問卦] 最近的詐騙廣告特別多~~~~~~~~~,時間: Sun Jan  7 09:43:05 2024,1,2024-01-07 09:43:05
推: 2,噓: 5,分數: -3,作者: became (windim),標題: [問卦] 您支持65歲以上由國家養嗎？,時間: Sun Jan  7 09:44:24 2024,2,2024-01-07 09:44:24
推: 6,噓: 0,分數: 6,作者: asws0808 (串燒油條),標題: [問卦] 選舉公報拿到了==,時間: Sun Jan  7 09:46:21 2024,6,2024-01-07 09:46:21
推: 2,噓: 0,分數: 2,作者: ikoy (？？？？),標題: [問卦] switch如果把手把按鍵設計在衣服上,時間: Sun Jan  7 09:46:52 2024,2,2024-01-07 09:46:52
推: 2,噓: 0,分數: 2,作者: ilv1181023 (yechen),標題: [問卦] 西洽是不是很容易被捅的板,時間: Sun Jan  7 09:47:51 2024,2,2024-01-07 09:47:51
推: 7,噓: 2,分數: 5,作者: lovea (lovea),標題: [新聞] 韓國瑜要挺柯票投侯康　柯文哲曝「私下,時間: Sun Jan  7 09:47:53 2024,7,2024-01-07 09:47:53
推: 4,噓: 0,分數: 4,作者: ppp123 (3p哥),標題: [問卦] 七年級不能生了 八年級還不趕快生？,時間: Sun Jan  7 09:48:08 2024,4,2024-01-07 09:48:08
推: 12,噓: 58,分數: -46,作者: zoeapezoo (),標題: [新聞] 感嘆台灣被撕裂！呱吉點名「最糟糕政黨,時間: Sun Jan  7 09:48:16 2024,12,2024-01-07 09:48:16
推: 0,噓: 0,分數: 0,作者: charco (胖虎想要變瘦虎),標題: Re: [問卦] 在菜市場擺攤賣雞肉是很低端的工作嗎？,時間: Sun Jan  7 09:48:17 2024,0,2024-01-07 09:48:17
推: 2,噓: 2,分數: 0,作者: U384 (皮皮),標題: [問卦] 吳子嘉動不動就要打人,時間: Sun Jan  7 09:49:01 2024,2,2024-01-07 09:49:01
推: 6,噓: 0,分數: 6,作者: kogsww (林晨黎),標題: [問卦] 烏魚子可以怎麼料理？,時間: Sun Jan  7 09:49:25 2024,6,2024-01-07 09:49:25
推: 5,噓: 2,分數: 3,作者: GGishot (一整個欠噓),標題: Re: [新聞] 國民黨失去執政8年痛定思痛！侯友宜：才,時間: Sun Jan  7 09:49:45 2024,5,2024-01-07 09:49:45
推: 15,噓: 5,分數: 10,作者: danny2451 (danny2451),標題: [問卦] 為什麼鍾明軒突然被推爆啊？,時間: Sun Jan  7 09:50:11 2024,15,2024-01-07 09:50:11
推: 1,噓: 2,分數: -1,作者: tth9955 (EvilHeart),標題: [問卦] 在幼馴染的婚禮上幫她的未婚夫戴綠帽==,時間: Sun Jan  7 09:50:33 2024,1,2024-01-07 09:50:33
推: 6,噓: 0,分數: 6,作者: FFSUPERTB (FFSUPERTB),標題: Re: [新聞] 他揭蔡壁如地方放話「柯文哲放生她」民,時間: Sun Jan  7 09:50:41 2024,6,2024-01-07 09:50:41
推: 0,噓: 0,分數: 0,作者: SuperMoist (超極濕潤),標題: [問卦] KMT的年輕一輩都怎麼想？,時間: Sun Jan  7 09:56:18 2024,0,2024-01-07 09:56:18
推: 0,噓: 0,分數: 0,作者: Herlo (無敵的福爾高雷),標題: [問卦] 有沒有threads 大量正妹闖進哥布林巢穴的,時間: Sun Jan  7 09:57:19 2024,0,2024-01-07 09:57:19
推: 0,噓: 0,分數: 0,作者: juqibai (炸彈丟了小心),標題: [新聞] 侯友宜車掃遇年輕人比柯文哲號次「雙手敬,時間: Sun Jan  7 09:58:05 2024,0,2024-01-07 09:58:05
推: 0,噓: 0,分數: 0,作者: pilitsao (uncircle),標題: [問卦] 高雄現在是哪個阿北在路上？,時間: Sun Jan  7 09:59:02 2024,0,2024-01-07 09:59:02
推: 0,噓: 0,分數: 0,作者: CCY0927 (茹絮夢),標題: [新聞] 民團辦活動紹介紅龜粿 親子聽故事閣兼做粿,時間: Sun Jan  7 10:00:27 2024,0,2024-01-07 10:00:27
推: 0,噓: 0,分數: 0,作者: tiger911 (胖虎),標題: [新聞] 賴清德在路上廣告發酵 民進黨高層：現場,時間: Sun Jan  7 10:00:29 2024,0,2024-01-07 10:00:29
推: 0,噓: 0,分數: 0,作者: currry (南港李國毅),標題: [問卦] 跳槽電信還續約哪個划算,時間: Sun Jan  7 10:02:08 2024,0,2024-01-07 10:02:08
