推,噓,分數,作者,標題,時間,推_etl,時間_etl
推: 5,噓: 1,分數: 4,作者: ssiou (科科~~),標題: [問卦] 尚毅夫是不是很受歡迎,時間: Sat Jan  6 21:34:46 2024,5,2024-01-06 21:34:46
推: 355,噓: 47,分數: 308,作者: ubcs (覺★青年超冒險蓋),標題: [公告] 帳號養了很好但下次別漬鯊惹 水桶,時間: Sat Jan  6 21:35:14 2024,355,2024-01-06 21:35:14
推: 13,噓: 4,分數: 9,作者: chopper594 (世界のももクロ No.1!!!),標題: Re: [新聞] 「柯文哲不會贏！」韓國瑜割袍斷義　勸柯,時間: Sat Jan  6 21:37:44 2024,13,2024-01-06 21:37:44
推: 7,噓: 1,分數: 6,作者: saiulbb (#KEEP MLB GREAT!),標題: [問卦] 現在發文門檻限制2000登入還是太低了對吧？,時間: Sat Jan  6 21:38:28 2024,7,2024-01-06 21:38:28
推: 280,噓: 18,分數: 262,作者: bowen5566 (天殘腳56),標題: [問卦] 同接人數破8萬是什麼程度？（9萬了）,時間: Sat Jan  6 21:39:31 2024,280,2024-01-06 21:39:31
推: 1,噓: 1,分數: 0,作者: abcrr123 (趙雲),標題: [問卦] 怕癢的人是不是不適合腳底/全身按摩？,時間: Sat Jan  6 21:39:53 2024,1,2024-01-06 21:39:53
推: 2,噓: 0,分數: 2,作者: anonymitet (   ),標題: Re: [問卦] 有誰適合放在台幣鈔票上？,時間: Sat Jan  6 21:41:06 2024,2,2024-01-06 21:41:06
推: 3,噓: 0,分數: 3,作者: wen12305 (偏鄉替代役),標題: [問卦] 把土地還給人民，然後勒？,時間: Sat Jan  6 21:41:28 2024,3,2024-01-06 21:41:28
推: 7,噓: 7,分數: 0,作者: razan (僅供參考),標題: [新聞] 去年經濟欠佳才沒缺電？台電：用電量史上,時間: Sat Jan  6 21:41:32 2024,7,2024-01-06 21:41:32
推: 0,噓: 0,分數: 0,作者: zhtw (Select None),標題: [問卦] 有沒有盜版NB鞋的八卦？,時間: Sat Jan  6 21:42:06 2024,0,2024-01-06 21:42:06
推: 7,噓: 5,分數: 2,作者: williammini (迷你衛里恩),標題: [問卦] 十萬肛你一次 你願意嗎?,時間: Sat Jan  6 21:42:44 2024,7,2024-01-06 21:42:44
推: 8,噓: 0,分數: 8,作者: ccyaztfe (1357924680),標題: [問卦] 拿到選舉公報該注意些什麼？,時間: Sat Jan  6 21:43:05 2024,8,2024-01-06 21:43:05
推: 7,噓: 2,分數: 5,作者: nonnon (我愛李多慧),標題: [問卦] 有沒有禽獸朋友們的八卦？,時間: Sat Jan  6 21:44:01 2024,7,2024-01-06 21:44:01
推: 1,噓: 0,分數: 1,作者: MeiHS (簽名檔詳見 其他版晃到，),"標題: [問卦] 主管周五才說要加班,尼一定會留下嗎?",時間: Sat Jan  6 21:45:37 2024,1,2024-01-06 21:45:37
推: 6,噓: 0,分數: 6,作者: purue (purue),標題: [問卦] 昨晚邁阿密幾十台警車是發生什麼事了,時間: Sat Jan  6 21:46:15 2024,6,2024-01-06 21:46:15
推: 110,噓: 42,分數: 68,作者: kikiki37 (441),標題: [問卦] 統神:看來勝負已定，下週準備郊遊出去玩,時間: Sat Jan  6 21:46:27 2024,110,2024-01-06 21:46:27
推: 2,噓: 0,分數: 2,作者: chan324 (北極熊),標題: [問卦] 肥宅改跟龍妹告白 有機會嗎,時間: Sat Jan  6 21:47:31 2024,2,2024-01-06 21:47:31
推: 52,噓: 6,分數: 46,作者: inoce (),標題: [問卦] 中視也跟著台視起風了嗎？！,時間: Sat Jan  6 21:47:41 2024,52,2024-01-06 21:47:41
推: 3,噓: 2,分數: 1,作者: Axwell (Axwell),標題: [問卦] 大谷翔平穿棉褲,時間: Sat Jan  6 21:49:53 2024,3,2024-01-06 21:49:53
推: 15,噓: 61,分數: -46,作者: mars1985 (╰|∵|╯),標題: [新聞] 選前黃金周！蘇貞昌轟國民黨執政「年年,時間: Sat Jan  6 21:50:16 2024,15,2024-01-06 21:50:16
推: 5,噓: 1,分數: 4,作者: TOMMY75410 (禿米),標題: [問卦] 等一下，殺生丸根本蘿莉控+犯罪惹吧！,時間: Sat Jan  6 21:50:46 2024,5,2024-01-06 21:50:46
推: 7,噓: 2,分數: 5,作者: kevin19528 (kk19528),標題: [問卦] 太離譜了～～～～,時間: Sat Jan  6 21:50:52 2024,7,2024-01-06 21:50:52
推: 11,噓: 2,分數: 9,作者: gcc9200 (),標題: [問卦] 造勢晚會的遊覽車,時間: Sat Jan  6 21:52:35 2024,11,2024-01-06 21:52:35
推: 10,噓: 3,分數: 7,作者: micheal59 (Pohan),標題: [問卦] 各位覺得下禮拜六會變天嗎?,時間: Sat Jan  6 21:52:41 2024,10,2024-01-06 21:52:41
推: 2,噓: 1,分數: 1,"作者: aitt (非主流,有何不可(M))",標題: [問卦] 這幾年車價漲幅應該超過薪資所得增幅吧,時間: Sat Jan  6 21:53:17 2024,2,2024-01-06 21:53:17
推: 9,噓: 1,分數: 8,作者: Waitaha (pinga),標題: [新聞] 吳欣盈到彰化夜市掃街受歡迎 小試身手打,時間: Sat Jan  6 21:53:27 2024,9,2024-01-06 21:53:27
推: 7,噓: 7,分數: 0,作者: ccugoo (小麥),標題: [新聞] 好心疼！五月天阿信開唱前「突曬打針照」　認了緊急治療,時間: Sat Jan  6 21:53:48 2024,7,2024-01-06 21:53:48
推: 1,噓: 0,分數: 1,作者: kiki1219 (=大坪林書豪=),標題: Re: [問卦] 民主到底是什麼?,時間: Sat Jan  6 21:53:58 2024,1,2024-01-06 21:53:58
推: 11,噓: 0,分數: 11,作者: DavidJam (天下沒有一蹴可幾的事),標題: [問卦] 要怎麼看風向啊？,時間: Sat Jan  6 21:54:11 2024,11,2024-01-06 21:54:11
推: 432,噓: 59,分數: 373,作者: chopper594 (世界のももクロ No.1!!!),標題: Re: [新聞] 王婉諭：時代力量有望衝過政黨票門檻 達,時間: Sat Jan  6 21:54:33 2024,432,2024-01-06 21:54:33
推: 7,噓: 2,分數: 5,作者: YU0121 (愛玉冰™),標題: [問卦] 傳產最近賺不少吧？,時間: Sat Jan  6 21:56:04 2024,7,2024-01-06 21:56:04
推: 6,噓: 1,分數: 5,作者: k99t (聖誕小雞),標題: [問卦] 請問有沒有空姐的故鄉南崁的八卦呢？,時間: Sat Jan  6 21:56:20 2024,6,2024-01-06 21:56:20
推: 5,噓: 3,分數: 2,作者: pulagu (超越),標題: [新聞] 北京下令商戶菜刀拴鏈 深圳超市刀具櫃上鎖,時間: Sat Jan  6 21:57:24 2024,5,2024-01-06 21:57:24
推: 6,噓: 2,分數: 4,作者: AgentZero (特務零),標題: [問卦] 保底40趴還是會贏吧 戒慎恐懼啊各位,時間: Sat Jan  6 21:57:58 2024,6,2024-01-06 21:57:58
推: 2,噓: 0,分數: 2,作者: SirChen (vanilla tobacco),標題: Re: [新聞] 伊拉克「真主黨旅」宣布參戰！　聲稱,時間: Sat Jan  6 21:58:44 2024,2,2024-01-06 21:58:44
推: 108,噓: 3,分數: 105,作者: IJuBan (我就笨),標題: [問卦] 徵求幹話語錄的經典,時間: Sat Jan  6 21:58:45 2024,108,2024-01-06 21:58:45
推: 8,噓: 1,分數: 7,作者: jason050117 (),標題: [問卦] 認真問，金城武的演技怎麼樣?,時間: Sat Jan  6 21:59:21 2024,8,2024-01-06 21:59:21
推: 15,噓: 1,分數: 14,作者: super1314159 (你有多久沒看台灣團體了?),標題: [問卦] 噁男聚會結果台下都是香香的妹子 可能嗎?,時間: Sat Jan  6 22:00:10 2024,15,2024-01-06 22:00:10
推: 84,噓: 20,分數: 64,作者: Goog1e (咕狗),標題: [問卦] 線上9.1萬人同時觀看是什麼水準,時間: Sat Jan  6 22:03:41 2024,84,2024-01-06 22:03:41
推: 4,噓: 4,分數: 0,作者: v929598 (實感.手作廢文),標題: [問卦] 老人家通常會把身分證放在哪?,時間: Sat Jan  6 22:03:43 2024,4,2024-01-06 22:03:43
推: 19,噓: 14,分數: 5,作者: kerkerson (高處不勝寒),標題: [新聞]藍有改變 侯友宜:入黨5年選總統以前可能嗎,時間: Sat Jan  6 22:04:11 2024,19,2024-01-06 22:04:11
推: 1,噓: 2,分數: -1,作者: qazStarStar (我不是派大星),標題: Re: [問卦] 統神:看來勝負已定，下週準備郊遊出去玩,時間: Sat Jan  6 22:04:37 2024,1,2024-01-06 22:04:37
推: 160,噓: 25,分數: 135,作者: rs23234 (.),標題: [問卦] 直播線上人數9萬1是什麼程度？,時間: Sat Jan  6 22:05:29 2024,160,2024-01-06 22:05:29
推: 5,噓: 1,分數: 4,作者: kinve1014 (黑松可樂),標題: [問卦] 星期六週末夜 趁亂偷曬貓貓,時間: Sat Jan  6 22:08:11 2024,5,2024-01-06 22:08:11
推: 39,噓: 7,分數: 32,作者: kinki5566 (近畿小子5566),標題: [新聞] 愛莉莎莎泰國買房！過來人搖頭分析「3窘境」：,時間: Sat Jan  6 22:09:02 2024,39,2024-01-06 22:09:02
推: 12,噓: 0,分數: 12,"作者: aitt (非主流,有何不可(M))",標題: [問卦] 如果大家都不想當公車司機會如何?,時間: Sat Jan  6 22:10:08 2024,12,2024-01-06 22:10:08
推: 5,噓: 1,分數: 4,作者: c654321000 (leehi ),標題: [問卦] 起風了嗎？,時間: Sat Jan  6 22:10:21 2024,5,2024-01-06 22:10:21
推: 4,噓: 0,分數: 4,作者: ai770116 (東方的神秘力量),標題: [問卦] 為何全世界都要保護未成年罪犯？,時間: Sat Jan  6 22:13:07 2024,4,2024-01-06 22:13:07
推: 7,噓: 0,分數: 7,作者: emperor (派蘿派蘿得第一),標題: [問卦] 川普當年是怎麼逆轉勝肥希的?,時間: Sat Jan  6 22:13:16 2024,7,2024-01-06 22:13:16
推: 2,噓: 0,分數: 2,作者: h50212263 (奈威),標題: [問卦] 蓋監獄跟蓋社宅二選一,時間: Sat Jan  6 22:13:31 2024,2,2024-01-06 22:13:31
推: 5,噓: 0,分數: 5,作者: dragonmester (),標題: [問卦] 手機接到02開頭的陌生號碼要接嗎,時間: Sat Jan  6 22:14:10 2024,5,2024-01-06 22:14:10
推: 11,噓: 0,分數: 11,作者: kalababygi (海勒姆),標題: [問卦] 深偽技術，五百人P成五萬人，太離譜了,時間: Sat Jan  6 22:14:50 2024,11,2024-01-06 22:14:50
推: 15,噓: 1,分數: 14,作者: Jaygo5566 (杰哥5566),標題: [問卦] 在舞會上的女孩兒比這個手勢是？,時間: Sat Jan  6 22:15:58 2024,15,2024-01-06 22:15:58
推: 1,噓: 0,分數: 1,作者: ccyaztfe (1357924680),標題: Re: [問卦] 為何全世界都要保護未成年罪犯？,時間: Sat Jan  6 22:17:15 2024,1,2024-01-06 22:17:15
推: 104,噓: 5,分數: 99,作者: humbler (獸人H),標題: [新聞] 吳欣盈雲林催票！廟前喊口號先問：會不會,時間: Sat Jan  6 22:17:43 2024,104,2024-01-06 22:17:43
推: 27,噓: 0,分數: 27,作者: kevin19528 (kk19528),標題: Re: [問卦] 同接人數破8萬是什麼程度？（9萬了）,時間: Sat Jan  6 22:19:53 2024,27,2024-01-06 22:19:53
推: 160,噓: 1,分數: 159,作者: ubcs (覺★青年超冒險蓋),標題: [公告] 政問的英姿40秒就會被遺忘惹 水桶,時間: Sat Jan  6 22:20:37 2024,160,2024-01-06 22:20:37
推: 8,噓: 3,分數: 5,作者: VVizZ (我很窮),標題: [問卦] 禮拜天精神科有開嗎？,時間: Sat Jan  6 22:22:28 2024,8,2024-01-06 22:22:28
推: 2,噓: 1,分數: 1,作者: v929598 (實感.手作廢文),標題: Re: [問卦] 如果大家都不想當公車司機會如何?,時間: Sat Jan  6 22:22:55 2024,2,2024-01-06 22:22:55
推: 29,噓: 23,分數: 6,作者: ipipwrong (Guess),標題: [新聞] 蔡英文造勢脫稿問支持者《在路上》觀看次,時間: Sat Jan  6 22:23:53 2024,29,2024-01-06 22:23:53
推: 8,噓: 1,分數: 7,作者: lovedls (偽天龍人),標題: [問卦] 玩過投幣式超任的都幾歲了,時間: Sat Jan  6 22:24:08 2024,8,2024-01-06 22:24:08
推: 4,噓: 0,分數: 4,作者: TOMMY75410 (禿米),標題: Re: [問卦] 十萬肛你一次 你願意嗎?,時間: Sat Jan  6 22:24:13 2024,4,2024-01-06 22:24:13
推: 9,噓: 19,分數: -10,作者: Ophiuchus (尋找傳說中的廚具會在選),標題: [新聞] 國師開示！賴清德、侯友宜「誰比較有料」,時間: Sat Jan  6 22:25:18 2024,9,2024-01-06 22:25:18
推: 10,噓: 0,分數: 10,作者: queenrabbits (葵兔子思我也沒辦法。),標題: [問卦] 為什麼夾娃娃機店又死灰復燃？,時間: Sat Jan  6 22:25:36 2024,10,2024-01-06 22:25:36
推: 53,噓: 8,分數: 45,作者: jackymars5 ((                )),標題: [問卦] 這種錢值多少，媽媽留下的,時間: Sat Jan  6 22:26:02 2024,53,2024-01-06 22:26:02
推: 9,噓: 3,分數: 6,作者: youshallnotp (ass),標題: [問卦] 台女easy?,時間: Sat Jan  6 22:27:36 2024,9,2024-01-06 22:27:36
推: 10,噓: 2,分數: 8,作者: kuangjc5566 (匡匡56),標題: [問卦] 大家或現在的小孩有看過叮噹貓嗎？,時間: Sat Jan  6 22:28:57 2024,10,2024-01-06 22:28:57
推: 3,噓: 0,分數: 3,作者: g007 (開心過每一天！),標題: [問卦] 下禮拜六想逛夜市有推薦的嗎？,時間: Sat Jan  6 22:30:30 2024,3,2024-01-06 22:30:30
推: 113,噓: 0,分數: 113,作者: kimura0701 (一天要喝3千cc的水),標題: [問卦] AI統神唱歌到底是三小啦,時間: Sat Jan  6 22:30:34 2024,113,2024-01-06 22:30:34
推: 4,噓: 0,分數: 4,作者: pchion2002 (阿我就怕被罵阿),標題: [問卦] 阿爾發音樂曾經喊過下架周杰倫嗎？,時間: Sat Jan  6 22:32:47 2024,4,2024-01-06 22:32:47
推: 0,噓: 0,分數: 0,作者: yuan55226 (Yuan55226),標題: Re: [問卦] 為什麼想結婚的台男不考慮外配?,時間: Sat Jan  6 22:32:51 2024,0,2024-01-06 22:32:51
推: 1,噓: 0,分數: 1,作者: event1408472 (口交狂徒TSJ),標題: [問卦] 人生還有多少的八年？,時間: Sat Jan  6 22:37:39 2024,1,2024-01-06 22:37:39
推: 7,噓: 6,分數: 1,作者: amilkamilk (我要成為幹話王),標題: Re: [問卦] 直播線上人數9萬1是什麼程度？,時間: Sat Jan  6 22:38:20 2024,7,2024-01-06 22:38:20
推: 9,噓: 1,分數: 8,作者: chubby31190 (優文專家),標題: [問卦] 倒數一個星期會有什麼驚喜嗎？,時間: Sat Jan  6 22:38:32 2024,9,2024-01-06 22:38:32
推: 4,噓: 0,分數: 4,作者: masi (專業酸民),標題: Re: [問卦] 蓋監獄跟蓋社宅二選一,時間: Sat Jan  6 22:38:45 2024,4,2024-01-06 22:38:45
推: 18,噓: 0,分數: 18,作者: ALOVET (かがみんさま 小鏡大人),標題: [問卦] 有甚麼經典的call in片段嗎?,時間: Sat Jan  6 22:38:48 2024,18,2024-01-06 22:38:48
推: 4,噓: 0,分數: 4,作者: zarados (HowKung-Fu),標題: [問卦] 下禮拜六餐廳訂哪家？,時間: Sat Jan  6 22:39:32 2024,4,2024-01-06 22:39:32
推: 80,噓: 7,分數: 73,作者: ray90910 (Blackbird),標題: [問卦] 白色真的都沒有遊覽車？,時間: Sat Jan  6 22:39:44 2024,80,2024-01-06 22:39:44
推: 4,噓: 0,分數: 4,作者: aquaair (aquaair),標題: [問卦] 有哪些大學下周還沒放寒假阿??,時間: Sat Jan  6 22:39:47 2024,4,2024-01-06 22:39:47
推: 9,噓: 3,分數: 6,作者: ai770116 (東方的神秘力量),標題: [問卦] 為何全世界都有少觀所這種北七制度,時間: Sat Jan  6 22:40:10 2024,9,2024-01-06 22:40:10
推: 50,噓: 0,分數: 50,作者: newsbow (快樂，來自選擇的權利！),標題: [爆卦] 能登又地震,時間: Sat Jan  6 22:41:30 2024,50,2024-01-06 22:41:30
推: 48,噓: 10,分數: 38,作者: ip116 (ncku),標題: [新聞] 成功大學女廁「冒出人頭」女大生上到一,時間: Sat Jan  6 22:41:39 2024,48,2024-01-06 22:41:39
推: 36,噓: 82,分數: -46,作者: minche (),標題: [新聞] 賴清德「在路上」引討論 鄭文燦：2千3百,時間: Sat Jan  6 22:44:32 2024,36,2024-01-06 22:44:32
推: 37,噓: 27,分數: 10,作者: aryue (Eternal Return),標題: Fw: [揪團] 1/12 衝凱道應援,時間: Sat Jan  6 22:45:57 2024,37,2024-01-06 22:45:57
推: 2,噓: 2,分數: 0,作者: se2422 (庫帕),標題: [問卦] 乳清能不能空腹喝啊？,時間: Sat Jan  6 22:46:45 2024,2,2024-01-06 22:46:45
推: 5,噓: 3,分數: 2,作者: lookatsu3 (悠哉的晴天),"標題: [問卦] 二選一,被正妹襪子塞嘴,還是正妹內褲套頭",時間: Sat Jan  6 22:47:14 2024,5,2024-01-06 22:47:14
推: 2,噓: 0,分數: 2,作者: MeiHS (簽名檔詳見 其他版晃到，),"標題: [問卦] 有沒啥見識的低能說輪班買不起房,該怎回?",時間: Sat Jan  6 22:47:32 2024,2,2024-01-06 22:47:32
推: 127,噓: 318,分數: -191,作者: heavenkghs (GuaGua),標題: [新聞] 【桃園大拚場】不忍了！　趙少康火力全,時間: Sat Jan  6 22:49:35 2024,127,2024-01-06 22:49:35
推: 16,噓: 6,分數: 10,作者: cena0605 (姜西拿),標題: [問卦] 白人直接在觀眾席上摸奶親嘴,時間: Sat Jan  6 22:50:52 2024,16,2024-01-06 22:50:52
推: 4,噓: 0,分數: 4,作者: FL5566 (小魯妹),標題: [問卦] 跟女生約會完很空虛正常嗎,時間: Sat Jan  6 22:55:23 2024,4,2024-01-06 22:55:23
推: 7,噓: 0,分數: 7,作者: mikemagic88 (Mikemagic88),標題: Re: [問卦] 為什麼夾娃娃機店又死灰復燃？,時間: Sat Jan  6 22:55:37 2024,7,2024-01-06 22:55:37
推: 34,噓: 3,分數: 31,作者: hazel0093 (飛龍がくる),標題: [問卦] 何潤東的演技如何？,時間: Sat Jan  6 22:56:10 2024,34,2024-01-06 22:56:10
推: 22,噓: 1,分數: 21,作者: Bode123 (中肯寶寶),標題: [問卦] 有沒有低劑量斷層篩檢肺癌要公費的八卦,時間: Sat Jan  6 22:57:20 2024,22,2024-01-06 22:57:20
推: 5,噓: 2,分數: 3,作者: uavan (ㄚ兵),標題: [問卦] 支持阿伯,時間: Sat Jan  6 22:58:20 2024,5,2024-01-06 22:58:20
推: 8,噓: 0,分數: 8,作者: blueian (義恩阿庫犽),標題: [問卦] 急了，是啥時流行起來的？,時間: Sat Jan  6 22:59:32 2024,8,2024-01-06 22:59:32
推: 2,噓: 0,分數: 2,作者: wasiqoo (雞與牛在卡通頻道),標題: [問卦] 有沒有詐騙橫行的卦r?,時間: Sat Jan  6 23:01:25 2024,2,2024-01-06 23:01:25
推: 182,噓: 26,分數: 156,作者: turndown4wat (wat),標題: [新聞] 快訊／2024大選首起 柯文哲造勢場驚傳,時間: Sat Jan  6 23:01:38 2024,182,2024-01-06 23:01:38
推: 24,噓: 2,分數: 22,作者: HTC92 (中国台湾人的驕傲-92共識),標題: [問卦] PS5已經一年沒開機了  正常嗎？,時間: Sat Jan  6 23:03:29 2024,24,2024-01-06 23:03:29
推: 11,噓: 1,分數: 10,作者: id44kimo (擁抱吧(B)),標題: Re: [問卦] 白色真的都沒有遊覽車？,時間: Sat Jan  6 23:04:26 2024,11,2024-01-06 23:04:26
推: 1,噓: 1,分數: 0,作者: howdo1793 (布比),標題: [問卦] 做民調時可以用變聲器嗎?,時間: Sat Jan  6 23:04:32 2024,1,2024-01-06 23:04:32
推: 1,噓: 0,分數: 1,作者: ssiou (科科~~),標題: [問卦] 為什麼大家都不喜歡小紅帽,時間: Sat Jan  6 23:04:50 2024,1,2024-01-06 23:04:50
推: 32,噓: 4,分數: 28,作者: DTO2017 (星辰●),標題: [問卦] 1號2號3號你選哪1號?,時間: Sat Jan  6 23:05:20 2024,32,2024-01-06 23:05:20
推: 7,噓: 1,分數: 6,作者: cutiehoneyzu (McHilo),標題: [問卦] 有沒有人手裡有錢想出國卻沒辦法出國？,時間: Sat Jan  6 23:05:32 2024,7,2024-01-06 23:05:32
推: 1,噓: 0,分數: 1,作者: brasstb (阿哲師),標題: [問卦] 發言人如果講話結巴是心虛嗎？,時間: Sat Jan  6 23:05:50 2024,1,2024-01-06 23:05:50
推: 2,噓: 0,分數: 2,作者: danny91074 ( 社會底層),標題: [問卦] 急..！處男又包莖有加分嗎？,時間: Sat Jan  6 23:07:26 2024,2,2024-01-06 23:07:26
推: 61,噓: 22,分數: 39,作者: yniori (偉恩咖肥),標題: [問卦] 統神：YTer不敢表態因為白蓮教太恐怖？,時間: Sat Jan  6 23:08:36 2024,61,2024-01-06 23:08:36
推: 2,噓: 1,分數: 1,作者: howard24 (中信兄弟強攻強攻),標題: [問卦] 怎麼沒人唱 夜色茫茫 星月無光?,時間: Sat Jan  6 23:08:48 2024,2,2024-01-06 23:08:48
推: 13,噓: 40,分數: -27,作者: duppy (小佳),標題: [新聞] 綠營嘉義造勢 賴清德：拚國會過半 續推,時間: Sat Jan  6 23:10:32 2024,13,2024-01-06 23:10:32
推: 3,噓: 2,分數: 1,作者: jimlexus (中華民國空軍４％嘴砲營),標題: [問卦] 這位姐姐漂亮PR值有多少？,時間: Sat Jan  6 23:10:36 2024,3,2024-01-06 23:10:36
推: 3,噓: 0,分數: 3,作者: indoman (橄欖趴),標題: [問卦] 90後是不是先甘後苦的最佳寫照,時間: Sat Jan  6 23:11:43 2024,3,2024-01-06 23:11:43
推: 4,噓: 0,分數: 4,作者: callhek (沒錢住帝寶),標題: [問卦] 抗中保台真的很有用吧？,時間: Sat Jan  6 23:11:55 2024,4,2024-01-06 23:11:55
推: 8,噓: 1,分數: 7,作者: trylin (電鈴怪客),標題: [問卦] 發現自己奶子快比女友大了怎麼辦？,時間: Sat Jan  6 23:12:00 2024,8,2024-01-06 23:12:00
推: 51,噓: 21,分數: 30,作者: ptt987654321 (大谷躺平),標題: [問卦] 吳子嘉開講的標題，風向也帶太大吧,時間: Sat Jan  6 23:12:38 2024,51,2024-01-06 23:12:38
推: 5,噓: 0,分數: 5,作者: shauima (萬佛朝宗-練英文筆跡),標題: Re: [問卦] 大家不覺得死賴著不拆違建真的很笨嗎?,時間: Sat Jan  6 23:13:51 2024,5,2024-01-06 23:13:51
推: 60,噓: 17,分數: 43,作者: sunchen0201 (天道酬勤),標題: [新聞] 選前黃金周柯文哲台中造勢大爆滿 排隊人,時間: Sat Jan  6 23:14:16 2024,60,2024-01-06 23:14:16
推: 4,噓: 1,分數: 3,作者: SeaForest (~海森林~),標題: Re: [問卦] 倒數一個星期會有什麼驚喜嗎？,時間: Sat Jan  6 23:15:23 2024,4,2024-01-06 23:15:23
推: 3,噓: 1,分數: 2,作者: indoman (橄欖趴),標題: [問卦] 這四年經歷不少事吧,時間: Sat Jan  6 23:18:27 2024,3,2024-01-06 23:18:27
推: 6,噓: 0,分數: 6,作者: ihl123456 (雨風評),標題: [新聞] 快訊／新北議員住處隔壁透天厝起火　五口,時間: Sat Jan  6 23:18:59 2024,6,2024-01-06 23:18:59
推: 118,噓: 33,分數: 85,作者: emuless (emuless),標題: [新聞] 台中大造勢超過5萬人 柯文哲批看不到賴清德「他被謊話淹沒了,時間: Sat Jan  6 23:19:21 2024,118,2024-01-06 23:19:21
推: 59,噓: 3,分數: 56,作者: kmtkmtkmt (kmtkmtkmt),標題: [問卦] 女孩版人氣怎降成這樣?????,時間: Sat Jan  6 23:21:03 2024,59,2024-01-06 23:21:03
推: 5,噓: 1,分數: 4,作者: lightwish (穹願),標題: [新聞] 加國首例 中國留學生被判潛在間諜拒入境,時間: Sat Jan  6 23:24:11 2024,5,2024-01-06 23:24:11
推: 1,噓: 0,分數: 1,作者: Panasonic (ideas for life),標題: Re: [問卦] 被人拍背是很嚴重的一件事情嗎？,時間: Sat Jan  6 23:24:11 2024,1,2024-01-06 23:24:11
推: 11,噓: 4,分數: 7,作者: suwy (Hank),標題: Re: [新聞] 賴清德「在路上」引討論 鄭文燦：2千3百,時間: Sat Jan  6 23:24:12 2024,11,2024-01-06 23:24:12
推: 4,噓: 0,分數: 4,作者: Herseth (Memento),標題: [問卦] 有塑膠盤子套塑膠袋的八卦嗎？,時間: Sat Jan  6 23:24:16 2024,4,2024-01-06 23:24:16
推: 32,噓: 69,分數: -37,作者: wiejen (威風八百面),標題: [新聞] 桃造勢10萬人爆場 侯：邀各黨人才組聯合,時間: Sat Jan  6 23:24:16 2024,32,2024-01-06 23:24:16
推: 9,噓: 4,分數: 5,作者: indoman (橄欖趴),標題: [問卦] 當初聽SWAY沒買房的人會後悔嗎,時間: Sat Jan  6 23:24:57 2024,9,2024-01-06 23:24:57
推: 9,噓: 1,分數: 8,作者: wahaha23 (請勿拍打餵食),標題: [新聞] 高橋陽一宣布引退 足球小將翼4月將結束43,時間: Sat Jan  6 23:26:57 2024,9,2024-01-06 23:26:57
推: 15,噓: 0,分數: 15,作者: chadmu (噓之收集者查德姆),標題: [新聞] 飛指部上兵欠債竟刺探愛國者飛彈情資 無,時間: Sat Jan  6 23:27:04 2024,15,2024-01-06 23:27:04
推: 11,噓: 2,分數: 9,作者: ncc5566 (政大宅男),標題: [問卦] 遊覽車老闆在想啥??,時間: Sat Jan  6 23:27:08 2024,11,2024-01-06 23:27:08
推: 6,噓: 0,分數: 6,作者: darkstar07 (高級大法師),標題: [問卦] 8+9的小孩沒錢養都怎麼養的八卦?,時間: Sat Jan  6 23:27:21 2024,6,2024-01-06 23:27:21
推: 48,噓: 12,分數: 36,作者: zhidux (病毒疫苗),標題: [新聞] 賴清德聞死刑甩頭走 侯辦：賴無視人民自,時間: Sat Jan  6 23:30:02 2024,48,2024-01-06 23:30:02
推: 1,噓: 2,分數: -1,作者: zeuswell (我是資深塔綠班),標題: [問卦] 為什麼摳頭皮會想打噴嚏？！？！？！,時間: Sat Jan  6 23:31:12 2024,1,2024-01-06 23:31:12
推: 14,噓: 3,分數: 11,作者: kerkerson (高處不勝寒),標題: [問卦] 敢做近視雷射的人484都很勇阿??,時間: Sat Jan  6 23:33:24 2024,14,2024-01-06 23:33:24
推: 9,噓: 3,分數: 6,作者: ilovecat5566 (....),標題: [問卦] 跟66歲女主管一起出差，要怎麼尬聊呢,時間: Sat Jan  6 23:33:36 2024,9,2024-01-06 23:33:36
推: 4,噓: 0,分數: 4,作者: tsaiss (Samkh),標題: [問卦] 這種突然什麼都看開的感覺是什麼？,時間: Sat Jan  6 23:33:53 2024,4,2024-01-06 23:33:53
推: 9,噓: 3,分數: 6,作者: zaichu (小蕎),標題: [新聞] 蔡英文稱經濟20年最好 侯辦秀數據打臉：,時間: Sat Jan  6 23:34:24 2024,9,2024-01-06 23:34:24
推: 39,噓: 7,分數: 32,作者: Supergreen (Hi),標題: [新聞] 零拒絕從未發生…私校「篩選」學生 成家,時間: Sat Jan  6 23:34:45 2024,39,2024-01-06 23:34:45
推: 6,噓: 0,分數: 6,作者: bbbsss1986 (老草莓),標題: [問卦] 一路綠燈的八卦嗎？,時間: Sat Jan  6 23:35:59 2024,6,2024-01-06 23:35:59
推: 3,噓: 0,分數: 3,作者: andy199113 (誒嘿嘿嘿),標題: [問卦] AKB48 Team SH上海分支的八卦?,時間: Sat Jan  6 23:37:06 2024,3,2024-01-06 23:37:06
推: 12,噓: 1,分數: 11,作者: Drogba11 (德羅球球球球球),標題: [爆卦] 日本石川縣震度6 深度10公里,時間: Sat Jan  6 23:38:44 2024,12,2024-01-06 23:38:44
